Energy lower bound (GeV)	Data to fit:	Unoscillated flux:
0	0	1.214381899
0.05	0	5.622306391
0.1	2	11.77215522
0.15	1	18.36411225
0.2	2	27.2179448
0.25	13	38.10249543
0.3	15	51.19882744
0.35	14	64.91880229
0.4	15	80.03030054
0.45	3	97.50418953
0.5	3	120.8461503
0.55	0	145.7879126
0.6	5	152.757658
0.65	6	131.592428
0.7	12	100.0895231
0.75	16	73.63209608
0.8	15	54.60231744
0.85	12	39.48028161
0.9	10	26.47861379
0.95	4	17.63748553
1	8	12.19992341
1.05	5	9.286099702
1.1	6	7.642496278
1.15	6	6.219104848
1.2	8	5.240449918
1.25	4	4.655093059
1.3	8	4.070456344
1.35	3	3.511186184
1.4	3	3.255691478
1.45	4	2.809253489
1.5	5	2.610696627
1.55	2	2.391125442
1.6	4	2.177055785
1.65	5	1.999591704
1.7	0	1.923572126
1.75	1	1.756870669
1.8	5	1.649940915
1.85	3	1.56213126
1.9	6	1.523336371
1.95	3	1.412605258
2	4	1.384416271
2.05	2	1.279259769
2.1	1	1.20698624
2.15	1	1.166649267
2.2	2	1.157969344
2.25	2	1.123863599
2.3	4	1.07388241
2.35	3	1.008928377
2.4	5	1.004606505
2.45	6	0.982700051
2.5	3	1.005035342
2.55	0	0.936589682
2.6	2	0.930199929
2.65	2	0.943187832
2.7	3	0.93619016
2.75	3	0.892216658
2.8	2	0.912078877
2.85	2	0.911334279
2.9	0	0.891534043
2.95	4	0.91460231
3	2	0.90674946
3.05	3	0.897504218
3.1	3	0.903801328
3.15	4	0.891902508
3.2	2	0.876888213
3.25	2	0.871174903
3.3	4	0.88346685
3.35	2	0.870922224
3.4	3	0.876190632
3.45	3	0.894713569
3.5	4	0.859153942
3.55	5	0.891434355
3.6	7	0.887269827
3.65	2	0.894383751
3.7	5	0.901563092
3.75	1	0.898895114
3.8	4	0.906649078
3.85	6	0.916781977
3.9	0	0.917355507
3.95	2	0.921224756
4	2	0.910374528
4.05	1	0.914954782
4.1	1	0.921574401
4.15	3	0.911906442
4.2	2	0.888837503
4.25	7	0.890498272
4.3	4	0.89026236
4.35	4	0.856216028
4.4	3	0.8429036
4.45	4	0.821111556
4.5	3	0.812439271
4.55	4	0.794810402
4.6	14	0.782643325
4.65	3	0.756659256
4.7	3	0.745177574
4.75	5	0.709482413
4.8	6	0.701095691
4.85	5	0.676372658
4.9	5	0.663400542
4.95	5	0.635528
5	0	0.612945705
5.05	1	0.592194094
5.1	2	0.554118506
5.15	4	0.535397253
5.2	4	0.513405398
5.25	3	0.475550072
5.3	2	0.478169454
5.35	1	0.450248403
5.4	2	0.423958408
5.45	0	0.396119604
5.5	1	0.382623777
5.55	1	0.35831866
5.6	3	0.353203615
5.65	3	0.341468196
5.7	2	0.316178928
5.75	3	0.304193518
5.8	3	0.282894784
5.85	3	0.291984476
5.9	2	0.259366961
5.95	1	0.259872926
6	0	0.243090083
6.05	1	0.237369983
6.1	2	0.224301189
6.15	1	0.222068978
6.2	3	0.210288551
6.25	2	0.203963805
6.3	3	0.194529536
6.35	1	0.186922196
6.4	0	0.183464234
6.45	1	0.177203245
6.5	3	0.166013501
6.55	1	0.170406327
6.6	2	0.159915627
6.65	0	0.151693315
6.7	0	0.148686899
6.75	1	0.149625547
6.8	1	0.137575848
6.85	2	0.13089846
6.9	2	0.130024528
6.95	0	0.124036472
7	1	0.124423287
7.05	0	0.119853439
7.1	1	0.112729739
7.15	0	0.106659326
7.2	1	0.109355479
7.25	0	0.105483093
7.3	2	0.102380629
7.35	1	0.095279727
7.4	1	0.093278248
7.45	0	0.090511125
7.5	0	0.088201243
7.55	1	0.087021886
7.6	2	0.082493436
7.65	1	0.084216365
7.7	1	0.078956456
7.75	1	0.075254402
7.8	1	0.068636994
7.85	0	0.071620776
7.9	0	0.064188933
7.95	0	0.067452317
8	0	0.065641934
8.05	1	0.06297574
8.1	0	0.06379705
8.15	2	0.061139148
8.2	0	0.05391862
8.25	0	0.056833038
8.3	0	0.053031024
8.35	0	0.050726545
8.4	0	0.050015851
8.45	1	0.053271108
8.5	0	0.04463483
8.55	1	0.047308181
8.6	1	0.043396038
8.65	1	0.044226747
8.7	0	0.042559335
8.75	1	0.042034248
8.8	0	0.041072204
8.85	0	0.037292585
8.9	1	0.032875033
8.95	0	0.033201662
9	0	0.036388463
9.05	0	0.032332566
9.1	0	0.032836174
9.15	0	0.028687744
9.2	0	0.029432911
9.25	0	0.029138828
9.3	1	0.028565418
9.35	0	0.028253304
9.4	1	0.025115336
9.45	1	0.024720518
9.5	0	0.024118419
9.55	1	0.026707514
9.6	0	0.021739934
9.65	0	0.023491686
9.7	0	0.020074197
9.75	1	0.02392712
9.8	0	0.022551968
9.85	0	0.019609803
9.9	0	0.018910212
9.95	0	0.020150185
